['cup', 'color_white', 'dampness_damp', 'dimension_narrow_short_small_thick', 'material_ceramic', 'physical_fragile_hard', 'price_expensive', 'room_bathroom', 'shape_curved_hollow', 'size_small', 'fullness_half', 'place_on_sink', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_red', 'dampness_wet', 'dimension_big_short_wide', 'material_plastic', 'physical_compressible', 'price_cheap', 'cleanliness_normal', 'room_living_room', 'shape_curved_hollow', 'size_medium', 'fullness_full', 'place_on_counter', 'temperature_cold', 'transparency_opaque', 'weight_light']
['cup', 'color_red', 'dampness_dry', 'dimension_big_short_wide', 'material_plastic', 'physical_compressible', 'price_cheap', 'cleanliness_clean', 'room_living_room', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_in_cabinet', 'temperature_room_temperature', 'transparency_opaque', 'weight_light']
['cup', 'color_red', 'dampness_damp', 'dimension_big_short_wide', 'material_plastic', 'physical_compressible', 'price_cheap', 'cleanliness_dirty', 'room_living_room', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_on_table', 'temperature_room_temperature', 'transparency_opaque', 'weight_light']
['cup', 'color_red', 'dampness_wet', 'dimension_big_short_wide', 'material_plastic', 'physical_compressible', 'price_cheap', 'cleanliness_normal', 'room_bedroom', 'shape_curved_hollow', 'size_medium', 'fullness_half', 'place_on_nightstand', 'temperature_room_temperature', 'transparency_opaque', 'weight_light']
['cup', 'color_red', 'dampness_dry', 'dimension_big_short_wide', 'material_plastic', 'physical_compressible', 'price_cheap', 'cleanliness_dirty', 'room_bedroom', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_on_table', 'temperature_room_temperature', 'transparency_opaque', 'weight_light']
['cup', 'color_red', 'dampness_dry', 'dimension_big_short_wide', 'material_plastic', 'physical_compressible', 'price_cheap', 'cleanliness_normal', 'room_bedroom', 'shape_curved_hollow', 'size_medium', 'fullness_full', 'place_on_shelf', 'temperature_room_temperature', 'transparency_opaque', 'weight_light']
['cup', 'color_red', 'dampness_damp', 'dimension_big_short_wide', 'material_plastic', 'physical_compressible', 'price_cheap', 'cleanliness_dirty', 'room_bedroom', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_on_nightstand', 'temperature_room_temperature', 'transparency_opaque', 'weight_light']
['cup', 'color_red', 'dampness_wet', 'dimension_big_short_wide', 'material_plastic', 'physical_compressible', 'price_cheap', 'cleanliness_normal', 'room_bedroom', 'shape_curved_hollow', 'size_medium', 'fullness_half', 'place_on_dresser', 'temperature_cold', 'transparency_opaque', 'weight_light']
['cup', 'color_red', 'dampness_damp', 'dimension_big_short_wide', 'material_plastic', 'physical_compressible', 'price_cheap', 'cleanliness_dirty', 'room_bedroom', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_in_trash_can', 'temperature_room_temperature', 'transparency_opaque', 'weight_light']
['cup', 'color_clear', 'dampness_wet', 'dimension_long_small', 'material_glass', 'physical_fragile_hard', 'price_cheap', 'cleanliness_normal', 'room_dining_room', 'shape_curved_hollow_irregular', 'size_small', 'fullness_full', 'place_on_table', 'temperature_room_temperature', 'transparency_transparent', 'weight_medium']
['cup', 'color_clear', 'dampness_dry', 'dimension_long_small', 'material_glass', 'physical_fragile_hard', 'price_cheap', 'cleanliness_clean', 'room_dining_room', 'shape_curved_hollow_irregular', 'size_small', 'fullness_empty', 'place_in_cabinet', 'temperature_room_temperature', 'transparency_transparent', 'weight_medium']
['cup', 'color_clear', 'dampness_damp', 'dimension_long_small', 'material_glass', 'physical_fragile_hard', 'price_cheap', 'cleanliness_dirty', 'room_dining_room', 'shape_curved_hollow_irregular', 'size_small', 'fullness_empty', 'place_on_counter', 'temperature_room_temperature', 'transparency_transparent', 'weight_medium']
['cup', 'color_clear', 'dampness_dry', 'dimension_long_small', 'material_glass', 'physical_fragile_hard', 'price_cheap', 'cleanliness_clean', 'room_dining_room', 'shape_curved_hollow_irregular', 'size_small', 'fullness_empty', 'place_on_sideboard', 'temperature_room_temperature', 'transparency_transparent', 'weight_medium']
['cup', 'color_clear', 'dampness_damp', 'dimension_long_small', 'material_glass', 'physical_fragile_hard', 'price_cheap', 'cleanliness_dirty', 'room_dining_room', 'shape_curved_hollow_irregular', 'size_small', 'fullness_empty', 'place_on_table', 'temperature_room_temperature', 'transparency_transparent', 'weight_medium']
['cup', 'color_clear', 'dampness_wet', 'dimension_long_small', 'material_glass', 'physical_fragile_hard', 'price_cheap', 'cleanliness_normal', 'room_dining_room', 'shape_curved_hollow_irregular', 'size_small', 'fullness_full', 'place_on_table', 'temperature_cold', 'transparency_transparent', 'weight_medium']
['cup', 'color_clear', 'dampness_dry', 'dimension_long_small', 'material_glass', 'physical_fragile_hard', 'price_cheap', 'cleanliness_dirty', 'room_garage', 'shape_curved_hollow_irregular', 'size_small', 'fullness_empty', 'place_on_table', 'temperature_room_temperature', 'transparency_transparent', 'weight_medium']
['cup', 'color_clear', 'dampness_dry', 'dimension_long_small', 'material_glass', 'physical_fragile_hard', 'price_cheap', 'cleanliness_dirty', 'room_garage', 'shape_curved_hollow_irregular', 'size_small', 'fullness_empty', 'place_in_trash_can', 'temperature_room_temperature', 'transparency_transparent', 'weight_medium']
['cup', 'color_clear', 'dampness_dry', 'dimension_long_small', 'material_glass', 'physical_fragile_hard', 'price_cheap', 'cleanliness_dirty', 'room_garage', 'shape_curved_hollow_irregular', 'size_small', 'fullness_empty', 'place_in_package', 'temperature_room_temperature', 'transparency_transparent', 'weight_medium']
['cup', 'color_clear', 'dampness_dry', 'dimension_long_small', 'material_glass', 'physical_fragile_hard', 'price_cheap', 'cleanliness_clean', 'room_garage', 'shape_curved_hollow_irregular', 'size_small', 'fullness_empty', 'place_in_car', 'temperature_room_temperature', 'transparency_transparent', 'weight_medium']
['cup', 'color_clear', 'dampness_dry', 'dimension_long_small', 'material_glass', 'physical_fragile_hard', 'price_cheap', 'cleanliness_clean', 'room_garage', 'shape_curved_hollow_irregular', 'size_small', 'fullness_empty', 'place_in_box', 'temperature_room_temperature', 'transparency_transparent', 'weight_medium']
['cup', 'color_clear', 'dampness_dry', 'dimension_long_small', 'material_glass', 'physical_fragile_hard', 'price_cheap', 'cleanliness_dirty', 'room_garage', 'shape_curved_hollow_irregular', 'size_small', 'fullness_empty', 'place_on_shelf', 'temperature_room_temperature', 'transparency_transparent', 'weight_medium']
['cup', 'color_clear', 'dampness_wet', 'dimension_long_small', 'material_glass', 'physical_fragile_hard', 'price_cheap', 'cleanliness_normal', 'room_living_room', 'shape_curved_hollow_irregular', 'size_small', 'fullness_full', 'place_on_table', 'temperature_room_temperature', 'transparency_transparent', 'weight_medium']
['cup', 'color_clear', 'dampness_damp', 'dimension_long_small', 'material_glass', 'physical_fragile_hard', 'price_cheap', 'cleanliness_dirty', 'room_living_room', 'shape_curved_hollow_irregular', 'size_small', 'fullness_empty', 'place_on_table', 'temperature_room_temperature', 'transparency_transparent', 'weight_medium']
['cup', 'color_clear', 'dampness_dry', 'dimension_long_small', 'material_glass', 'physical_fragile_hard', 'price_cheap', 'cleanliness_clean', 'room_living_room', 'shape_curved_hollow_irregular', 'size_small', 'fullness_empty', 'place_on_table', 'temperature_room_temperature', 'transparency_transparent', 'weight_medium']
['cup', 'color_clear', 'dampness_dry', 'dimension_long_small', 'material_glass', 'physical_fragile_hard', 'price_cheap', 'cleanliness_clean', 'room_living_room', 'shape_curved_hollow_irregular', 'size_small', 'fullness_empty', 'place_on_cabinet', 'temperature_room_temperature', 'transparency_transparent', 'weight_medium']
['cup', 'color_clear', 'dampness_damp', 'dimension_long_small', 'material_glass', 'physical_fragile_hard', 'price_cheap', 'cleanliness_dirty', 'room_living_room', 'shape_curved_hollow_irregular', 'size_small', 'fullness_empty', 'place_on_table', 'temperature_room_temperature', 'transparency_transparent', 'weight_medium']
['cup', 'color_clear', 'dimension_long_small', 'material_glass', 'physical_fragile_hard', 'price_cheap', 'cleanliness_normal', 'room_living_room', 'shape_curved_hollow_irregular', 'size_small', 'fullness_full', 'place_on_counter', 'temperature_room_temperature', 'transparency_transparent', 'weight_medium']
['cup', 'color_clear', 'dampness_wet', 'dimension_long_small', 'material_glass', 'physical_fragile_hard', 'price_cheap', 'cleanliness_normal', 'room_bedroom', 'shape_curved_hollow_irregular', 'size_small', 'fullness_full', 'place_on_nightstand', 'temperature_cold', 'transparency_transparent', 'weight_medium']
['cup', 'color_clear', 'dampness_dry', 'dimension_long_small', 'material_glass', 'physical_fragile_hard', 'price_cheap', 'cleanliness_dirty', 'room_bedroom', 'shape_curved_hollow_irregular', 'size_small', 'fullness_empty', 'place_on_dresser', 'temperature_room_temperature', 'transparency_transparent', 'weight_medium']
['cup', 'color_clear', 'dampness_wet', 'dimension_long_small', 'material_glass', 'physical_fragile_hard', 'price_cheap', 'cleanliness_normal', 'room_bedroom', 'shape_curved_hollow_irregular', 'size_small', 'fullness_half', 'place_in_hand', 'temperature_cold', 'transparency_transparent', 'weight_medium']
['cup', 'color_clear', 'dampness_wet', 'dimension_long_small', 'material_glass', 'physical_fragile_hard', 'price_cheap', 'cleanliness_normal', 'room_bedroom', 'shape_curved_hollow_irregular', 'size_small', 'fullness_full', 'place_on_table', 'temperature_cold', 'transparency_transparent', 'weight_medium']
['cup', 'color_clear', 'dampness_dry', 'dimension_long_small', 'material_glass', 'physical_fragile_hard', 'price_cheap', 'cleanliness_clean', 'room_bedroom', 'shape_curved_hollow_irregular', 'size_small', 'fullness_empty', 'place_in_cabinet', 'temperature_room_temperature', 'transparency_transparent', 'weight_medium']
['cup', 'color_clear', 'dimension_long_small', 'material_glass', 'physical_fragile_hard', 'price_cheap', 'cleanliness_dirty', 'room_bedroom', 'shape_curved_hollow_irregular', 'size_small', 'fullness_empty', 'place_on_dresser', 'temperature_room_temperature', 'transparency_transparent', 'weight_medium']
['cup', 'color_clear', 'dampness_dry', 'dimension_long_small', 'material_glass', 'physical_fragile_hard', 'price_cheap', 'cleanliness_clean', 'room_kitchen', 'shape_curved_hollow_irregular', 'size_small', 'fullness_empty', 'place_hang_holder', 'temperature_room_temperature', 'transparency_transparent', 'weight_medium']
['cup', 'color_clear', 'dampness_wet', 'dimension_long_small', 'material_glass', 'physical_fragile_hard', 'price_cheap', 'cleanliness_normal', 'room_kitchen', 'shape_curved_hollow_irregular', 'size_small', 'fullness_full', 'place_on_counter', 'temperature_room_temperature', 'transparency_transparent', 'weight_medium']
['cup', 'color_clear', 'dampness_wet', 'dimension_long_small', 'material_glass', 'physical_fragile_hard', 'price_cheap', 'cleanliness_dirty', 'room_kitchen', 'shape_curved_hollow_irregular', 'size_small', 'fullness_empty', 'place_in_dishwasher', 'temperature_hot', 'transparency_transparent', 'weight_medium']
['cup', 'color_clear', 'dampness_wet', 'dimension_long_small', 'material_glass', 'physical_fragile_hard', 'price_cheap', 'cleanliness_normal', 'room_kitchen', 'shape_curved_hollow_irregular', 'size_small', 'fullness_full', 'place_on_table', 'temperature_room_temperature', 'transparency_transparent', 'weight_medium']
['cup', 'color_clear', 'dimension_long_small', 'material_glass', 'physical_fragile_hard', 'price_cheap', 'cleanliness_dirty', 'room_kitchen', 'shape_curved_hollow_irregular', 'size_small', 'fullness_empty', 'place_on_counter', 'temperature_room_temperature', 'transparency_transparent', 'weight_medium']
['cup', 'color_clear', 'dampness_dry', 'dimension_long_small', 'material_glass', 'physical_fragile_hard', 'price_cheap', 'cleanliness_clean', 'room_kitchen', 'shape_curved_hollow_irregular', 'size_small', 'fullness_empty', 'place_in_cabinet', 'temperature_room_temperature', 'transparency_transparent', 'weight_medium']
['cup', 'color_clear', 'dampness_dry', 'dimension_long_small', 'material_glass', 'physical_fragile_hard', 'price_cheap', 'cleanliness_clean', 'room_kitchen', 'shape_curved_hollow_irregular', 'size_small', 'fullness_empty', 'place_in_cabinet', 'temperature_room_temperature', 'transparency_transparent', 'weight_medium']
['cup', 'color_clear', 'dampness_wet', 'dimension_long_small', 'material_glass', 'physical_fragile_hard', 'price_cheap', 'cleanliness_normal', 'room_kitchen', 'shape_curved_hollow_irregular', 'size_small', 'fullness_half', 'place_on_counter', 'temperature_room_temperature', 'transparency_transparent', 'weight_medium']
['cup', 'color_clear', 'dampness_wet', 'dimension_long_small', 'material_glass', 'physical_fragile_hard', 'price_cheap', 'cleanliness_dirty', 'room_kitchen', 'shape_curved_hollow_irregular', 'size_small', 'fullness_empty', 'place_in_dishwasher', 'temperature_hot', 'transparency_transparent', 'weight_medium']
['cup', 'color_silver', 'dampness_wet', 'dimension_big_narrow_wide', 'material_metal', 'physical_absorbent_hard', 'price_expensive', 'cleanliness_normal', 'room_dining_room', 'shape_curved_hollow', 'size_medium', 'fullness_full', 'place_on_table', 'transparency_opaque', 'weight_medium']
['cup', 'color_silver', 'dimension_big_narrow_wide', 'material_metal', 'physical_absorbent_hard', 'price_expensive', 'cleanliness_normal', 'room_dining_room', 'shape_curved_hollow', 'size_medium', 'fullness_full', 'place_on_tray', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_silver', 'dampness_dry', 'dimension_big_narrow_wide', 'material_metal', 'physical_absorbent_hard', 'price_expensive', 'cleanliness_clean', 'room_dining_room', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_in_cabinet', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_silver', 'dampness_dry', 'dimension_big_narrow_wide', 'material_metal', 'physical_absorbent_hard', 'price_expensive', 'cleanliness_clean', 'room_dining_room', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_on_table', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_silver', 'dampness_dry', 'dimension_big_narrow_wide', 'material_metal', 'physical_absorbent_hard', 'price_expensive', 'cleanliness_clean', 'room_dining_room', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_in_package', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_silver', 'dampness_dry', 'dimension_big_narrow_wide', 'material_metal', 'physical_absorbent_hard', 'price_expensive', 'cleanliness_clean', 'room_dining_room', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_in_cabinet', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_silver', 'dampness_wet', 'dimension_big_narrow_wide', 'material_metal', 'physical_absorbent_hard', 'price_expensive', 'cleanliness_normal', 'room_balcony', 'shape_curved_hollow', 'size_medium', 'fullness_full', 'place_on_table', 'temperature_hot', 'transparency_opaque', 'weight_medium']
['cup', 'color_silver', 'dampness_dry', 'dimension_big_narrow_wide', 'material_metal', 'physical_absorbent_hard', 'price_expensive', 'cleanliness_dirty', 'room_balcony', 'shape_curved_hollow', 'size_medium', 'fullness_half', 'place_on_ledge', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_silver', 'dampness_damp', 'dimension_big_narrow_wide', 'material_metal', 'physical_absorbent_hard', 'price_expensive', 'cleanliness_dirty', 'room_balcony', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_on_floor', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_silver', 'dampness_dry', 'dimension_big_narrow_wide', 'material_metal', 'physical_absorbent_hard', 'price_expensive', 'cleanliness_dirty', 'room_balcony', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_on_table', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_silver', 'dampness_dry', 'dimension_big_narrow_wide', 'material_metal', 'physical_absorbent_hard', 'price_expensive', 'cleanliness_clean', 'room_balcony', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_on_sideboard', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_silver', 'dampness_damp', 'dimension_big_narrow_wide', 'material_metal', 'physical_absorbent_hard', 'price_expensive', 'cleanliness_dirty', 'room_balcony', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_on_tray', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_silver', 'dampness_dry', 'dimension_big_narrow_wide', 'material_metal', 'physical_absorbent_hard', 'price_expensive', 'cleanliness_clean', 'room_living_room', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_on_cabinet', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_silver', 'dampness_damp', 'dimension_big_narrow_wide', 'material_metal', 'physical_absorbent_hard', 'price_expensive', 'cleanliness_dirty', 'room_living_room', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_on_table', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_silver', 'dampness_dry', 'dimension_big_narrow_wide', 'material_metal', 'physical_absorbent_hard', 'price_expensive', 'cleanliness_dirty', 'room_living_room', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_on_floor', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_silver', 'dampness_dry', 'dimension_big_narrow_wide', 'material_metal', 'physical_absorbent_hard', 'price_expensive', 'cleanliness_clean', 'room_living_room', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_on_sideboard', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_silver', 'dampness_wet', 'dimension_big_narrow_wide', 'material_metal', 'physical_absorbent_hard', 'price_expensive', 'cleanliness_clean', 'room_living_room', 'shape_curved_hollow', 'size_medium', 'fullness_full', 'place_on_table', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_silver', 'dampness_dry', 'dimension_big_narrow_wide', 'material_metal', 'physical_absorbent_hard', 'price_expensive', 'cleanliness_clean', 'room_living_room', 'shape_curved_hollow', 'size_medium', 'fullness_full', 'place_on_table', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_silver', 'dampness_dry', 'dimension_big_narrow_wide', 'material_metal', 'physical_absorbent_hard', 'price_expensive', 'cleanliness_clean', 'room_closet', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_on_shelf', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_silver', 'dampness_dry', 'dimension_big_narrow_wide', 'material_metal', 'physical_absorbent_hard', 'price_expensive', 'cleanliness_clean', 'room_closet', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_in_box', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_silver', 'dampness_dry', 'dimension_big_narrow_wide', 'material_metal', 'physical_absorbent_hard', 'price_expensive', 'cleanliness_clean', 'room_closet', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_on_floor', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_silver', 'dampness_dry', 'dimension_big_narrow_wide', 'material_metal', 'physical_absorbent_hard', 'price_expensive', 'cleanliness_clean', 'room_closet', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_on_shelf', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_silver', 'dampness_dry', 'dimension_big_narrow_wide', 'material_metal', 'physical_absorbent_hard', 'price_expensive', 'cleanliness_clean', 'room_closet', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_in_box', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['cup', 'color_silver', 'dampness_dry', 'dimension_big_narrow_wide', 'material_metal', 'physical_absorbent_hard', 'price_expensive', 'cleanliness_clean', 'room_closet', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_on_floor', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['bottle', 'color_black_silver', 'dampness_wet', 'dimension_big_long_narrow', 'material_metal', 'physical_hard', 'price_expensive', 'room_bedroom', 'shape_curved_hollow', 'size_medium', 'fullness_full', 'place_in_bag', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['bottle', 'color_black_silver', 'dampness_dry', 'dimension_big_long_narrow', 'material_metal', 'physical_hard', 'price_expensive', 'cleanliness_normal', 'room_bedroom', 'shape_curved_hollow', 'size_medium', 'fullness_full', 'place_on_nightstand', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['bottle', 'color_black_silver', 'dampness_wet', 'dimension_big_long_narrow', 'material_metal', 'physical_hard', 'price_expensive', 'cleanliness_normal', 'room_bedroom', 'shape_curved_hollow', 'size_medium', 'fullness_full', 'place_on_table', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['bottle', 'color_black_silver', 'dampness_dry', 'dimension_big_long_narrow', 'material_metal', 'physical_hard', 'price_expensive', 'cleanliness_normal', 'room_bedroom', 'shape_curved_hollow', 'size_medium', 'fullness_full', 'place_on_nightstand', 'temperature_cold', 'transparency_opaque', 'weight_medium']
['bottle', 'color_black_silver', 'dimension_big_long_narrow', 'material_metal', 'physical_hard', 'price_expensive', 'cleanliness_dirty', 'room_bedroom', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_on_floor', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['bottle', 'color_black_silver', 'dimension_big_long_narrow', 'material_metal', 'physical_hard', 'price_expensive', 'cleanliness_normal', 'room_bedroom', 'shape_curved_hollow', 'size_medium', 'fullness_full', 'place_on_table', 'temperature_cold', 'transparency_opaque', 'weight_medium']
['bottle', 'color_black_silver', 'dampness_dry', 'dimension_big_long_narrow', 'material_metal', 'physical_hard', 'price_expensive', 'cleanliness_clean', 'room_kitchen', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_in_cabinet', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['bottle', 'color_black_silver', 'dampness_wet', 'dimension_big_long_narrow', 'material_metal', 'physical_hard', 'price_expensive', 'cleanliness_normal', 'room_kitchen', 'shape_curved_hollow', 'size_medium', 'fullness_full', 'place_on_counter', 'temperature_cold', 'transparency_opaque', 'weight_medium']
['bottle', 'color_black_silver', 'dampness_wet', 'dimension_big_long_narrow', 'material_metal', 'physical_hard', 'price_expensive', 'cleanliness_clean', 'room_kitchen', 'shape_curved_hollow', 'size_medium', 'fullness_full', 'place_in_refrigerator', 'temperature_cold', 'transparency_opaque', 'weight_medium']
['bottle', 'color_black_silver', 'dampness_wet', 'dimension_big_long_narrow', 'material_metal', 'physical_hard', 'price_expensive', 'cleanliness_dirty', 'room_kitchen', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_in_dishwasher', 'temperature_hot', 'transparency_opaque', 'weight_medium']
['bottle', 'color_black_silver', 'dampness_dry', 'dimension_big_long_narrow', 'material_metal', 'physical_hard', 'price_expensive', 'cleanliness_clean', 'room_kitchen', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_in_rack', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['bottle', 'color_black_silver', 'dampness_dry', 'dimension_big_long_narrow', 'material_metal', 'physical_hard', 'price_expensive', 'cleanliness_clean', 'room_kitchen', 'shape_curved_hollow', 'size_medium', 'fullness_empty', 'place_in_cabinet', 'temperature_room_temperature', 'transparency_opaque', 'weight_medium']
['bottle', 'color_blue_clear', 'dampness_dry', 'dimension_long_narrow', 'material_plastic', 'price_cheap', 'cleanliness_normal', 'room_dining_room', 'shape_irregular', 'size_small', 'fullness_full', 'place_on_counter', 'temperature_hot', 'transparency_transparent', 'weight_heavy']
['bottle', 'color_blue_clear', 'dampness_wet', 'dimension_long_narrow', 'material_plastic', 'price_cheap', 'cleanliness_normal', 'room_dining_room', 'shape_irregular', 'size_small', 'fullness_full', 'place_in_refrigerator', 'temperature_cold', 'transparency_transparent', 'weight_heavy']
['bottle', 'color_blue_clear', 'dampness_dry', 'dimension_long_narrow', 'material_plastic', 'price_cheap', 'cleanliness_normal', 'room_dining_room', 'shape_irregular', 'size_small', 'fullness_full', 'place_on_shelf', 'temperature_hot', 'transparency_transparent', 'weight_heavy']
['bottle', 'color_blue_clear', 'dampness_dry', 'dimension_long_narrow', 'material_plastic', 'price_cheap', 'cleanliness_normal', 'room_dining_room', 'shape_irregular', 'size_small', 'fullness_full', 'place_on_table', 'temperature_room_temperature', 'transparency_transparent', 'weight_heavy']
['bottle', 'color_blue_clear', 'dampness_damp', 'dimension_long_narrow', 'material_plastic', 'price_cheap', 'cleanliness_normal', 'room_dining_room', 'shape_irregular', 'size_small', 'fullness_half', 'place_on_table', 'temperature_cold', 'transparency_transparent', 'weight_heavy']
['bottle', 'color_blue_clear', 'dampness_dry', 'dimension_long_narrow', 'material_plastic', 'price_cheap', 'cleanliness_dirty', 'room_dining_room', 'shape_irregular', 'size_small', 'fullness_empty', 'place_on_table', 'temperature_room_temperature', 'transparency_transparent', 'weight_heavy']
['bottle', 'color_blue_clear', 'dampness_wet', 'dimension_long_narrow', 'material_plastic', 'price_cheap', 'cleanliness_clean', 'room_study', 'shape_irregular', 'size_small', 'fullness_full', 'place_on_table', 'temperature_room_temperature', 'transparency_transparent', 'weight_heavy']
['bottle', 'color_blue_clear', 'dampness_wet', 'dimension_long_narrow', 'material_plastic', 'price_cheap', 'cleanliness_normal', 'room_study', 'shape_irregular', 'size_small', 'fullness_full', 'place_on_table', 'temperature_room_temperature', 'transparency_transparent', 'weight_heavy']
['bottle', 'color_blue_clear', 'dampness_dry', 'dimension_long_narrow', 'material_plastic', 'price_cheap', 'cleanliness_dirty', 'room_study', 'shape_irregular', 'size_small', 'fullness_empty', 'place_in_trash_can', 'temperature_room_temperature', 'transparency_transparent', 'weight_heavy']
['bottle', 'color_blue_clear', 'dampness_wet', 'dimension_long_narrow', 'material_plastic', 'price_cheap', 'cleanliness_normal', 'room_study', 'shape_irregular', 'size_small', 'fullness_half', 'place_on_table', 'temperature_room_temperature', 'transparency_transparent', 'weight_heavy']
['bottle', 'color_blue_clear', 'dampness_wet', 'dimension_long_narrow', 'material_plastic', 'price_cheap', 'cleanliness_clean', 'room_study', 'shape_irregular', 'size_small', 'fullness_full', 'place_on_table', 'temperature_room_temperature', 'transparency_transparent', 'weight_heavy']
['bottle', 'color_blue_clear', 'dimension_long_narrow', 'material_plastic', 'price_cheap', 'cleanliness_dirty', 'room_study', 'shape_irregular', 'size_small', 'fullness_empty', 'place_in_trash_can', 'temperature_room_temperature', 'transparency_transparent', 'weight_heavy']
['bottle', 'color_blue_clear', 'dampness_dry', 'dimension_long_narrow', 'material_plastic', 'price_cheap', 'cleanliness_dirty', 'room_living_room', 'shape_irregular', 'size_small', 'fullness_empty', 'place_on_sofa', 'temperature_room_temperature', 'transparency_transparent', 'weight_heavy']
['bottle', 'color_blue_clear', 'dampness_dry', 'dimension_long_narrow', 'material_plastic', 'price_cheap', 'cleanliness_clean', 'room_living_room', 'shape_irregular', 'size_small', 'fullness_full', 'place_on_table', 'temperature_room_temperature', 'transparency_transparent', 'weight_heavy']
['bottle', 'color_blue_clear', 'dimension_long_narrow', 'material_plastic', 'price_cheap', 'cleanliness_clean', 'room_living_room', 'shape_irregular', 'size_small', 'fullness_full', 'place_in_refrigerator', 'temperature_cold', 'transparency_transparent', 'weight_heavy']
['bottle', 'color_blue_clear', 'dimension_long_narrow', 'material_plastic', 'price_cheap', 'cleanliness_normal', 'room_living_room', 'shape_irregular', 'size_small', 'fullness_full', 'place_on_table', 'temperature_cold', 'transparency_transparent', 'weight_heavy']
['bottle', 'color_blue_clear', 'dampness_wet', 'dimension_long_narrow', 'material_plastic', 'price_cheap', 'cleanliness_normal', 'room_living_room', 'shape_irregular', 'size_small', 'fullness_half', 'place_on_table', 'temperature_cold', 'transparency_transparent', 'weight_heavy']
['bottle', 'color_blue_clear', 'dampness_dry', 'dimension_long_narrow', 'material_plastic', 'price_cheap', 'cleanliness_dirty', 'room_living_room', 'shape_irregular', 'size_small', 'fullness_empty', 'place_on_table', 'temperature_room_temperature', 'transparency_transparent', 'weight_heavy']
